fermata;lat;lon
CEM016;45,62749546;9,142317504
MLZ094;45,49543078;9,42005088
PLL788;45,41846945;9,388504448
MLN138;45,42932747;9,257056803
MLN132;45,42920996;9,256914294
MLN133;45,42941205;9,257250311
MLN134;45,42931257;9,256433593
MLN135;45,42911836;9,257066311
MLN136;45,4293523;9,257323852
MLN137;45,42927076;9,257280669
PRR067;45,43728568;9,315662715
PRR012;45,43798441;9,286584114
PRR084;45,45694578;9,316707054
CGN900;45,59220196;9,71289993
CHV900;45,34978157;9,620299272
OZN900;45,40119113;9,91660671
MLN097;45,46145951;9,214467684
SNC900;45,39854987;9,865872907
VLT901;45,45966206;9,601998981
MLG038;45,35305534;9,320840527
PVM625;45,35429046;9,201553363
CSN052;45,52316614;9,330448047
CSN054;45,52294779;9,325435759
CSN055;45,52253373;9,323098887
CSN056;45,52231768;9,320589517
CSN057;45,52253937;9,327035902
CSN058;45,52287838;9,325670047
CSN059;45,52237438;9,322511106
CSN060;45,52228294;9,321117029
CSN061;45,52117389;9,330647236
CSN063;45,52065679;9,330913061
CSN064;45,52022677;9,32792924
CSN066;45,52040439;9,34588844
CSN070;45,51985442;9,330665923
CSN076;45,51563042;9,330502921
CSN077;45,5157346;9,330840871
CSN079;45,51505423;9,332214411
CSN106;45,52278069;9,31814283
PLL789;45,41839761;9,388478342
MDL790;45,42326596;9,378519582
MDL791;45,42304277;9,378391073
CSN113;45,50829382;9,338763284
PDD751;45,57363281;9,170085961
PDD760;45,57405792;9,146335762
PDD761;45,57348775;9,141790089
PDD762;45,5715998;9,139150262
PDD763;45,57166348;9,142263817
PDD764;45,57048469;9,144635309
PDD765;45,57176567;9,146842295
PLT084;45,47302819;9,316187084
PLT085;45,47255005;9,316426783
DES605;45,61501549;9,206485754
BRO004;45,06068289;9,256534157
BRO005;45,05841431;9,250254096
BRO011;45,05688208;9,231182604
BRO012;45,06660382;9,265910642
PLT087;45,48629298;9,328263476
RDN008;45,47433342;9,353120076
DES604;45,61422564;9,200789889
DES603;45,62556094;9,207465406
DES606;45,62546655;9,207969862
CUS003;45,55157023;9,187871622
CUS004;45,55219847;9,18993626
CUS005;45,55202336;9,190047258
CUS006;45,55294322;9,193299513
CUS007;45,55427672;9,199705201
CUS008;45,55276174;9,193528002
CUS009;45,55647105;9,185874837
CUS019;45,55656873;9,186246159
DES001;45,61242094;9,198061366
DES002;45,61222525;9,197887331
DES003;45,6199042;9,215559558
DES004;45,62590674;9,184201993
DES005;45,62573129;9,184284456
